id,age,income,loan_amount,term,gender,credit_history,default
182,62,49863,9433,12,F,0,0
183,64,57388,13689,6,F,1,0
184,44,43120,11710,18,M,0,0
185,35,42071,12080,18,M,1,0
186,52,62632,17378,6,M,1,0
187,52,54878,6579,24,F,1,0
188,44,56730,8208,12,F,0,0
189,61,72924,9122,36,M,1,0
190,32,42423,5075,24,F,1,0
191,59,49264,9992,6,F,1,0
192,22,58267,13289,24,F,1,0
193,23,36927,14141,24,F,1,0
194,57,53435,9080,6,F,1,1
195,37,50332,15710,6,F,1,0
196,22,91659,1000,36,M,1,0
197,22,51498,21626,6,F,1,0
198,48,67354,12836,6,M,1,0
199,43,62449,7847,6,M,0,0
200,57,32651,12310,18,F,0,0
201,52,26767,9236,6,F,1,0
202,53,53705,1000,6,M,1,0
203,21,68860,10234,6,F,1,0
204,39,54318,14557,36,M,1,0
205,22,51182,14818,24,M,0,0
206,64,45738,11258,6,F,1,0
207,46,30140,14788,6,F,1,0
208,52,35592,12177,36,F,1,0
209,26,25665,11112,24,M,0,1
210,52,33454,6555,36,M,1,0
211,24,42109,8263,12,F,1,0
212,31,61640,8718,12,F,1,0
213,37,43323,11427,12,F,1,0
214,58,53834,14015,6,F,1,0
215,44,52028,6927,36,M,1,0
216,25,57485,3041,6,F,1,0
217,54,34477,17198,12,M,1,0
218,26,65887,5156,24,F,1,0
219,42,28892,12450,24,M,1,1
220,31,43282,11265,36,M,0,0
221,36,49686,8278,24,M,0,0
222,53,61402,13037,12,F,1,0
223,29,70689,3961,36,F,1,0
224,26,61520,18153,36,F,1,0
225,36,71238,23174,12,M,1,0
226,49,37562,16154,12,F,0,0
227,23,67855,5949,12,F,0,0
228,40,65279,1000,12,F,1,0
229,56,14055,12386,36,M,0,0
230,39,46693,3533,24,F,1,0
231,46,59030,7934,12,M,1,0
232,23,42268,17614,18,M,1,0
233,39,33712,18118,36,F,1,0
234,40,81712,18658,6,F,0,0
235,52,51665,10492,24,M,1,0
236,27,52076,14482,36,F,1,0
237,61,30365,1000,12,M,1,0
238,53,40814,2504,18,M,0,0
239,60,36532,8559,6,M,1,0
240,59,66184,14206,24,F,1,0
241,38,57569,7867,12,M,0,0
242,60,41441,14013,36,M,0,1
243,21,58407,4232,36,F,1,0
244,31,46197,10510,24,M,0,0
245,48,53517,12749,18,M,1,0
246,45,53446,13787,12,F,1,0
247,43,56304,7742,24,M,1,0
248,51,54494,10143,24,F,1,1
249,50,56315,2296,36,F,1,0
250,62,68837,9474,24,M,1,0
251,55,59608,15408,6,F,1,0
252,27,44946,8685,6,M,1,0
253,36,48530,6260,12,F,1,0
254,46,68452,13907,24,M,0,0
255,22,51686,21426,36,F,1,0
256,21,44389,20866,12,M,1,0
257,32,40532,11307,18,M,1,0
258,25,54095,13852,36,F,1,0
259,57,37177,18193,18,M,1,0
260,52,69271,11206,12,M,1,0
261,29,34432,12306,6,F,1,0
262,61,72171,8385,36,F,0,0
263,55,45721,21839,36,F,1,0
264,39,33848,13593,12,M,0,0
265,36,52837,8663,36,M,0,0
266,23,35704,7123,36,M,0,1
267,40,50515,1000,12,F,0,0
268,44,41336,2097,24,M,1,0
269,53,64176,6369,12,M,1,0
270,44,52051,14641,36,M,1,1
271,31,32172,11630,12,F,0,0
272,28,41044,3725,36,F,0,0
273,56,60574,5367,18,M,1,0
274,58,69306,11408,18,F,1,0
275,60,49320,18367,6,F,1,0
276,40,34334,4490,12,M,0,0
277,55,65810,12294,12,F,0,0
278,45,60508,7772,18,F,0,0
279,55,69598,7917,18,F,0,0
280,45,54353,4132,18,M,1,0
281,49,42191,13132,6,F,1,0
282,38,57753,7568,6,F,0,1
283,38,54894,8242,24,M,1,1
284,22,41376,14921,12,M,1,0
285,55,52979,15182,6,M,1,0
286,36,47074,6350,36,M,0,0
287,61,61153,11484,12,M,1,0
288,56,57380,14531,24,F,1,0
289,53,34226,9082,18,M,1,1
290,24,32713,13352,24,F,1,0
291,53,48652,8407,12,M,0,0
292,34,50492,8269,18,F,1,0
293,41,61414,5339,24,M,1,1
294,40,57699,18559,24,F,0,0
295,28,71880,7578,12,M,1,0
296,27,42992,5994,6,F,1,0
297,23,42135,4773,36,F,1,0
298,37,35602,10422,24,M,1,0
299,53,61241,4915,36,F,1,1
300,32,50326,6437,12,F,0,0
301,42,22195,13994,12,M,1,1
302,42,53032,12243,6,F,1,0
303,50,53989,3273,18,F,1,0
304,58,47834,13624,36,M,1,0
305,58,54449,10163,24,F,1,0
306,28,31696,15685,18,M,1,0
307,47,74615,17089,36,F,1,0
308,47,55703,1956,36,F,1,1
309,54,23394,13823,18,F,0,0
310,41,49911,18174,18,F,1,0
311,50,56100,11048,6,M,0,1
312,53,33306,13441,24,M,0,0
313,48,58004,11124,24,F,1,0
314,53,75213,14897,24,F,1,0
315,25,40334,11917,18,M,1,0
316,39,56426,1000,6,M,1,0
317,24,53128,9393,12,M,0,1
318,55,64524,9070,6,F,1,0
319,37,48367,13568,18,F,1,0
320,64,33999,15884,6,F,1,0
321,48,63562,8861,18,M,1,0
322,50,34891,3875,36,F,0,0
323,49,77132,11531,36,M,1,0
324,26,58411,6120,12,M,0,0
325,55,41016,6969,36,F,0,0
326,61,66629,21910,12,M,1,0
327,57,49862,6611,24,F,1,0
328,44,46678,2175,18,M,1,0
329,49,39786,13017,24,F,1,0
330,51,21827,13535,24,F,1,0
331,55,59065,14392,12,M,0,0
332,53,25578,14199,18,M,0,0
333,41,38100,10728,12,F,0,0
334,52,56492,10780,6,F,1,0
335,43,42489,14697,24,M,1,0
336,53,52357,18042,18,F,1,0
337,23,31794,3696,24,F,0,0
338,38,44773,6958,6,M,0,0
339,45,52450,13139,6,M,1,0
340,62,35727,11274,18,M,1,1
341,51,75295,1047,18,F,0,1
342,23,40438,7133,6,F,1,0
343,60,70676,11513,24,M,1,0
344,44,47482,10062,36,M,0,0
345,52,26472,8205,24,M,0,0
346,42,32946,21720,36,F,1,0
347,43,52641,9875,12,F,1,0
348,22,65491,11155,18,F,1,0
349,47,76546,10664,6,M,0,1
350,62,51923,11058,12,M,1,0
351,22,32341,10188,24,F,0,0
352,46,54177,1000,36,M,0,0
353,37,37621,5048,18,M,0,0
354,60,55882,8425,36,M,1,1
355,53,35877,14063,24,F,1,0
356,29,18656,8503,24,M,0,0
357,63,69752,5843,6,M,1,0
358,59,46603,14721,12,M,1,0
359,49,50744,16755,18,M,0,1
360,62,64950,2336,6,F,1,1
361,46,78182,10484,36,F,1,0
362,55,60801,1000,12,F,1,0
363,45,51545,8442,18,F,1,0
364,44,56943,19422,36,M,1,0
365,33,45578,10459,18,F,0,0
366,27,50541,3094,18,M,1,0
367,56,52172,3217,12,M,0,0
368,40,38200,5336,36,M,1,0
369,21,50317,6641,6,M,1,0
370,28,55506,1000,6,F,0,0
371,36,57755,11646,6,F,1,0
372,34,56559,12719,18,M,1,0
373,32,29914,8248,24,F,1,0
374,43,68438,20228,12,F,1,0
375,35,67194,7852,6,M,1,0
376,48,48557,16013,12,F,0,0
377,54,56832,3061,18,M,1,0
378,22,46751,11499,12,M,0,0
379,52,61279,12250,6,M,0,0
380,43,37785,6447,6,F,1,0
381,42,70136,10836,18,M,1,0
382,45,60533,6396,18,M,1,0
383,42,60881,8440,36,M,1,0
384,42,48424,8585,18,F,1,1
385,62,28810,2972,24,M,1,0
386,26,63259,12614,24,M,1,0
387,35,29306,12959,6,M,1,0
388,63,63439,8133,18,M,1,0
389,57,38418,11210,24,F,1,0
390,53,26194,5401,24,M,1,0
391,28,50014,3738,36,F,1,0
392,64,67742,8000,18,M,0,0
393,64,35515,13455,36,F,1,1
394,25,73985,9622,12,M,0,0
395,59,59851,7807,36,F,0,0
396,24,52351,11678,12,F,1,0
397,26,43465,5420,12,M,1,0
398,52,44511,3868,18,M,1,0
399,50,56452,8236,12,M,1,1
400,55,62690,5749,12,F,0,0
401,60,41097,4052,36,F,0,0
402,36,37902,14519,18,F,1,0
403,33,46792,21015,18,F,0,1
404,62,70904,2226,12,M,1,0
405,50,31746,7920,36,F,1,0
406,39,67137,10872,36,M,0,0
407,37,50634,1396,36,F,0,0
408,39,25208,8886,36,M,1,0
409,48,43075,9249,6,F,1,0
410,46,59145,12399,12,F,0,0
411,57,77027,6136,12,M,0,0
412,46,30089,7177,12,F,1,0
413,43,7712,14857,18,F,1,0
414,29,30356,12097,18,F,1,0
415,32,66956,13639,36,M,1,0
416,21,23093,1229,18,F,1,0
417,21,72458,6658,24,M,1,0
418,54,68222,17581,12,F,0,0
419,52,52865,9580,12,F,1,1
420,45,40604,9371,6,M,1,0
421,60,50828,9588,6,M,0,0
422,21,59166,17849,24,M,0,0
423,36,56877,6268,6,F,0,0
424,59,76094,13357,36,M,1,0
425,25,46098,11319,36,F,1,0
426,42,30487,3168,12,F,0,0
427,49,27840,8506,36,M,1,1
428,23,24840,5831,6,F,1,1
429,32,52944,3633,24,F,1,0
430,46,46484,15982,36,F,1,0
431,36,50489,3900,12,F,1,1
432,57,41944,13746,12,M,1,0
433,42,33347,5691,6,F,1,0
434,49,59215,16787,36,F,1,0
435,34,13054,7900,6,M,0,0
436,48,37976,11678,12,M,1,0
437,25,61797,7168,24,F,0,0
438,50,36487,1000,36,M,1,0
439,25,55875,1662,24,M,0,1
440,32,37996,1000,36,F,0,1
441,36,43162,11269,12,M,0,0
442,46,58623,9856,36,F,1,0
443,46,30832,12973,12,F,0,0
444,41,61179,6604,18,F,1,0
445,59,50688,1000,12,M,0,0
446,56,68846,16509,12,F,1,0
447,53,53122,14949,36,F,1,0
448,50,33957,11869,24,F,1,0
449,57,75919,15554,12,M,1,0
450,43,35210,9492,36,M,0,1
451,30,46592,11325,12,F,0,0
452,25,64361,6481,6,F,1,0
453,56,21801,4646,6,M,1,0
454,54,71595,2116,6,F,1,0
455,51,32736,6236,6,M,1,1
456,30,43175,23309,24,F,1,0
457,39,54332,2398,12,M,1,0
458,52,49374,5311,6,F,1,0
459,21,61837,10565,36,F,1,0
460,25,25987,21987,6,M,0,0
461,24,60911,4751,18,M,1,0
462,36,62108,6856,18,M,0,0
463,44,65438,13357,24,F,1,0
464,36,26155,13074,18,M,0,0
465,22,27965,6527,36,M,1,0
466,48,44864,5830,6,M,1,0
467,52,29587,12239,18,M,0,1
468,47,22940,8480,18,M,0,0
469,40,44218,11437,24,M,0,0
470,44,53511,9153,18,F,0,0
471,32,91984,11756,6,M,0,0
472,55,58230,12274,12,M,1,0
473,53,76284,1000,6,M,1,0
474,53,49337,7684,18,F,1,0
475,63,58393,11668,18,M,1,0
476,57,47807,14052,18,F,1,0
477,32,90246,8340,24,M,0,0
478,23,39716,1000,36,F,1,0
479,21,41750,16245,6,M,1,0
480,53,61948,14278,18,F,0,1
481,60,53112,10527,12,F,1,0
482,30,43637,7677,24,M,0,0
483,63,64405,13001,36,F,0,0
484,64,49382,7725,18,M,0,0
485,49,49277,14380,6,F,1,0
486,33,53458,18983,12,F,1,0
487,32,23988,7561,24,F,1,0
488,51,26101,13902,6,F,1,1
489,22,66303,6724,6,M,1,0
490,55,39845,15136,24,M,1,0
491,43,48005,8767,6,M,1,0
492,37,74186,17239,12,F,1,0
493,46,48681,8611,12,F,1,0
494,28,46848,5511,6,M,1,0
495,49,63441,8328,18,M,1,0
496,46,41026,8884,6,M,1,0
497,30,68043,11181,18,F,0,1
498,46,63133,8355,6,F,1,0
499,54,77454,11227,36,M,0,0
500,61,39644,11315,12,M,1,0
501,27,70504,7862,6,M,1,0
502,24,58311,11642,12,F,0,0
503,31,30119,7068,24,F,1,0
504,49,11057,19999,36,M,1,0
505,56,38029,11495,18,M,1,0
506,45,54385,13061,24,F,0,1
507,41,56560,9023,36,M,0,0
508,56,49113,6397,24,M,0,1
509,30,49248,14180,12,M,0,0
510,57,48110,11649,36,F,1,0
511,29,65468,1000,24,M,1,0
512,44,28455,19628,18,F,0,1
513,55,54024,13689,36,M,0,1
514,55,37658,8094,36,F,1,1
515,56,36401,13028,24,F,1,0
516,38,67643,12108,6,M,1,0
517,59,35251,12476,18,F,0,0
518,52,47907,5647,18,F,1,0
519,44,79377,10355,24,M,0,0
520,43,62571,11510,12,M,1,0
521,52,43175,16159,12,F,1,0
522,57,44414,10513,6,M,1,0
523,32,31591,12155,6,M,0,0
524,33,69509,5448,24,M,0,0
525,43,65170,10336,12,M,1,0
526,45,60299,14335,18,M,1,0
527,55,61952,6579,12,M,1,0
528,61,38382,8059,24,M,0,0
529,50,26781,5180,12,F,1,0
530,37,58408,3222,36,M,1,0
531,40,63328,5696,24,M,1,0
532,45,74105,12811,36,M,0,0
533,42,46986,8769,24,M,1,0
534,33,44798,5712,18,M,0,1
535,39,46411,20895,24,M,1,0
536,56,60061,6491,24,F,1,1
537,32,45768,13122,24,M,1,0
538,61,49216,11664,24,F,0,0
539,39,62465,11240,6,F,0,1
540,32,40612,1000,36,F,1,0
541,29,70867,16350,24,F,1,0
542,27,59496,11597,24,M,0,0
543,48,22135,14594,6,M,1,0
544,34,42269,15693,12,M,1,0
545,51,19634,18568,6,F,1,1
546,39,47049,5008,6,M,1,0
547,36,42525,6406,6,F,0,0
548,25,62522,7089,24,F,1,0
549,55,36784,5668,6,M,1,0
550,32,55816,16608,6,F,1,0
551,45,58532,4984,6,M,1,0
552,41,53857,8103,24,F,1,0
553,56,67101,1842,18,F,0,0
554,43,81024,13660,18,M,1,1
555,36,51679,9361,12,F,1,0
556,59,56077,14416,24,M,0,0
557,62,36795,13505,6,M,1,0
558,59,34707,1792,6,M,1,0
559,34,65507,10924,6,F,1,0
560,51,63522,4546,18,M,0,0
561,25,34555,10705,6,M,0,1
562,55,30376,7069,6,M,1,0
563,43,40268,19168,18,M,1,0
564,49,47879,23317,6,F,0,0
565,63,43863,8776,12,M,1,0
566,31,52407,10494,36,M,0,0
567,38,63755,1000,12,M,1,0
568,32,56931,1778,24,M,0,1
569,29,58041,11931,12,M,1,0
570,30,13226,9838,12,F,1,0
571,64,25791,12106,18,M,1,0
572,37,38053,6009,24,F,1,1
573,58,40529,11513,12,M,1,0
574,27,62597,1000,36,F,1,0
575,33,36816,6953,12,M,1,0
576,60,60003,12332,6,F,1,0
577,62,38223,18482,18,F,1,0
578,29,31986,9415,6,M,1,1
579,47,32683,12949,24,F,1,0
580,22,83873,6653,24,M,1,0
581,25,37889,12217,18,M,0,0
582,49,60364,7530,12,F,1,0
583,57,26627,19773,24,F,1,0
584,58,71283,8355,36,F,1,0
585,39,55235,9150,18,M,1,1
586,28,54109,13870,6,F,1,0
587,21,56207,12512,36,F,1,0
588,42,57859,8172,18,F,1,0
589,37,62136,12049,36,M,1,0
590,27,41013,4726,18,M,1,0
591,45,40136,11131,6,F,0,0
592,24,50738,12746,12,F,0,0
593,56,60266,7886,18,F,1,0
594,26,49000,8150,24,M,1,0
595,51,61608,6852,6,F,1,0
596,39,59267,2820,6,F,1,0
597,64,46745,12076,36,M,1,1
598,59,23792,7624,24,M,1,0
599,47,42447,12782,36,F,0,1
600,30,76141,9087,6,F,1,0
601,46,55100,13073,18,M,1,0
602,39,40406,1432,24,F,1,1
603,59,53759,4269,6,M,0,0
604,23,60149,5790,24,F,1,1
605,33,40414,15985,18,F,1,0
606,48,68530,12015,12,F,0,0
607,40,57435,8682,36,M,0,0
608,48,33501,7612,36,F,1,0
609,28,62845,12980,6,M,0,1
610,61,43855,7054,6,F,0,0
611,59,47313,13678,18,M,1,0
612,21,34760,8928,6,F,0,0
613,23,59471,16465,6,M,0,0
614,33,47767,5276,6,M,1,0
615,48,60106,9360,24,F,0,0
616,45,41735,5405,24,M,1,0
617,53,40018,18141,12,F,1,0
618,58,38803,10104,24,F,0,1
619,26,55940,4963,36,F,1,0
620,64,39794,5489,12,M,0,0
621,52,46953,12570,6,F,0,0
622,41,42223,1000,36,F,1,0
623,36,56601,9108,12,F,0,0
624,41,23970,5737,12,M,1,0
625,31,53705,9201,36,F,1,0
626,57,75970,10506,12,F,1,0
627,56,68540,9507,36,F,1,0
628,55,40750,8669,12,F,1,0
629,39,57419,10827,12,M,1,0
630,40,54508,18749,12,F,1,1
631,38,72040,16369,36,F,1,0
632,61,12348,8311,12,F,1,0
633,34,66693,13625,24,M,1,0
634,35,45987,13380,24,F,1,0
635,51,38851,8104,24,F,1,1
636,21,38422,9841,24,F,0,0
637,23,30501,12687,24,F,1,0
638,36,40788,6348,6,F,0,1
639,43,33803,8797,12,F,0,0
640,31,52703,9011,18,M,0,0
641,32,58849,8651,6,M,1,0
642,30,46151,8454,36,F,1,0
643,52,72495,12210,6,M,1,0
644,36,41773,10132,18,M,1,0
645,28,45367,13196,6,M,1,0
646,58,42905,22600,12,F,1,0
647,32,58979,7324,24,F,1,0
648,44,60493,11088,12,M,0,0
649,48,57430,12542,6,F,1,0
650,28,48138,15459,18,M,1,0
651,48,29890,12172,36,F,1,0
652,56,45208,4535,12,M,0,0
653,46,72172,6687,18,F,1,0
654,28,65198,10732,36,F,0,1
655,48,54410,6545,24,M,0,0
656,48,44233,2617,12,F,1,0
657,57,49795,5968,12,F,1,0
658,61,44299,5995,24,M,1,0
659,56,67895,4953,24,F,1,0
660,47,37415,22633,6,M,1,0
661,37,63855,11576,36,M,0,0
662,29,42061,10577,18,M,1,0
663,53,69813,14597,24,M,1,0
664,40,56401,18991,6,F,1,1
665,33,38759,11933,36,F,1,0
666,48,45360,15087,36,M,0,0
667,49,60674,7489,12,F,1,0
668,33,42512,5468,6,F,1,0
669,55,50332,14545,6,F,1,1
670,26,42305,14450,12,F,1,0
671,38,76386,13981,18,M,1,0
672,25,78966,10627,24,F,0,0
673,45,71946,6102,12,M,1,1
674,22,48134,7597,24,M,1,0
675,30,43958,15775,6,F,1,0
676,50,38312,7045,12,F,1,0
677,25,73035,10931,18,F,1,0
678,53,63960,6145,24,M,1,1
679,21,64681,9044,24,M,0,0
680,38,46251,4597,24,F,1,0
681,52,23631,9626,6,F,1,0
682,31,27080,7612,24,M,1,0
683,41,50864,1467,36,M,0,1
684,46,42159,13274,24,F,1,0
685,45,40434,13046,6,F,0,0
686,42,55177,10280,12,F,1,0
687,47,65204,4379,24,M,0,1
688,33,39481,4448,24,M,0,0
689,53,30415,21652,12,F,0,0
690,54,39837,1000,36,M,1,0
691,61,34340,4546,6,M,1,0
692,55,58892,20747,12,M,1,0
693,21,49938,22313,6,F,1,1
694,41,78207,18495,12,F,1,0
695,26,61020,12659,18,F,1,0
696,48,77207,6817,36,M,1,0
697,37,28941,1586,18,M,0,1
698,25,1207,12030,12,F,0,0
699,51,53644,6184,12,F,1,0
700,25,51848,17258,6,M,0,0
701,58,48158,1000,12,F,1,0
702,23,51436,11002,6,M,0,0
703,43,33139,14643,6,F,1,0
704,57,58447,15063,12,F,0,1
705,57,61042,14168,6,F,1,0
706,30,32003,11702,36,M,0,0
707,30,44695,10638,18,F,1,0
708,39,45622,14539,12,F,1,0
709,37,39937,11703,6,F,1,0
710,41,32583,11864,6,M,0,1
711,34,50187,10171,6,M,1,0
712,29,53912,8074,6,F,1,0
713,21,40847,3250,36,F,0,0
714,33,33638,4112,12,F,1,0
715,24,56158,8083,12,F,0,1
716,21,38490,9397,36,F,0,1
717,60,45361,5161,36,M,1,0
718,52,43458,4787,36,M,0,1
719,54,68685,8176,12,M,1,0
720,48,39178,14510,24,F,0,0
721,51,75882,1000,18,M,1,0
722,28,61284,5308,36,F,1,0
723,59,77313,10807,36,M,1,0
724,46,59969,16433,12,F,0,0
725,54,46684,20804,12,M,0,0
726,23,36239,8289,18,F,1,0
727,32,44668,8216,6,M,0,1
728,21,72309,9311,12,M,1,0
729,64,49280,11135,18,F,1,0
730,25,59913,9775,12,F,0,1
731,50,53104,10582,12,F,1,1
732,50,53744,3318,12,F,1,0
733,37,54322,1690,24,F,1,0
734,43,57430,13576,24,M,1,1
735,35,37788,9036,36,M,1,0
736,57,45876,14167,24,M,0,0
737,41,54639,11118,18,F,0,0
738,34,52452,2834,12,M,1,0
739,22,43081,17766,24,M,1,0
740,31,56249,10156,12,M,1,0
741,59,38432,6263,6,M,1,0
742,58,31654,7328,36,F,1,0
743,54,54424,3943,24,F,1,0
744,58,32022,11663,12,M,0,0
745,54,54201,9444,6,M,1,1
746,38,20679,20093,36,M,1,1
747,50,39125,12599,36,M,1,0
748,35,45086,19790,6,M,0,0
749,47,25900,5193,24,M,0,0
750,54,44409,8345,24,F,1,0
751,58,67775,14450,12,M,1,0
752,53,30945,12944,18,M,1,0
753,44,44819,9921,12,M,1,0
754,35,75539,4617,12,M,0,1
755,50,34072,1000,12,M,1,0
756,62,70958,8900,6,M,1,1
757,37,45814,9113,36,M,1,0
758,25,51528,10640,36,M,1,0
759,49,69372,2771,18,M,1,0
760,24,42723,5603,24,M,1,0
761,30,59465,11959,12,F,1,1
762,37,63268,12925,6,M,1,0
763,30,40237,11004,6,M,0,0
764,37,38578,8267,12,F,1,0
765,40,46570,4064,6,M,1,1
766,44,47040,14769,6,M,1,0
767,25,33815,13634,12,M,1,0
768,54,40375,7129,18,M,1,0
769,26,-2003,14166,6,F,1,1
770,22,44985,9654,36,M,0,0
771,33,63415,6588,36,M,1,0
772,63,24999,14633,36,M,1,0
773,63,43052,10500,12,M,1,0
774,31,86634,7859,36,M,1,0
775,43,49661,3588,24,F,1,0
